date,open,high,low,close,volume
11/4/2020,279.2021,284.332,277.5381,282.5006,75728206
11/5/2020,288.9007,290.8503,287.5124,289.8656,50611376
11/6/2020,289.0681,290.8207,285.3757,290.0823,40959764
11/9/2020,292.7408,294.5426,283.692,284.1548,86537071
11/10/2020,280.876,282.2543,276.3073,279.0642,68019246
11/11/2020,281.5258,285.7893,279.0249,285.3068,36102931
11/12/2020,286.2521,287.5852,282.8354,283.9677,34516826
11/13/2020,285.553,287.089,283.4459,286.4588,24880582
11/16/2020,286.2127,288.9992,285.5333,288.6939,30168361
11/17/2020,288.8909,289.2256,287.1284,287.7782,21843463
11/18/2020,287.217,288.8613,285.5628,285.6514,28069619
11/19/2020,285.0311,288.2016,284.4108,287.8865,22718422
11/20/2020,287.8078,288.561,285.8287,285.9173,24485112
11/23/2020,286.9314,288.2509,283.6428,285.9271,26875588
11/24/2020,287.0102,290.4466,285.1788,289.9444,23850175
11/25/2020,290.8995,292.3765,290.0626,291.7266,23326826
11/27/2020,293.7057,295.5568,293.3217,294.4146,17163115
11/30/2020,294.7002,295.3599,290.2497,295.0153,27836232
12/1/2020,297.2307,300.4504,296.2067,298.7963,27283110
12/2/2020,297.5753,299.52,295.7341,299.1803,23620003
12/3/2020,299.3969,301.1791,298.8662,299.6037,22828727
12/4/2020,299.6529,300.9723,298.9636,300.8246,19332081
12/7/2020,301.0117,302.9022,300.8246,302.528,20850969
12/8/2020,302.0455,303.8573,300.2634,303.552,18341464
12/9/2020,303.3354,303.6209,295.5962,296.6793,48839306
12/10/2020,294.6116,299.0129,293.5088,297.8707,27519544
12/11/2020,296.187,297.339,293.8829,297.211,26760416
12/14/2020,298.4221,301.3465,298.3532,299.3673,28804832
12/15/2020,301.6615,302.5674,299.4363,302.5674,25790455
12/16/2020,302.9711,305.024,301.9087,304.2314,25461890
12/17/2020,305.8561,306.4567,304.6351,306.2204,23730524
12/18/2020,306.8702,307.1853,302.8825,305.2948,41173392
